freq,psd_x,psd_y,psd_z,psd_xyz
148.5,5.963e+03,4.806e+01,1.776e+03,7.787e+03
150.0,6.329e+03,4.244e+01,1.847e+03,8.218e+03
151.5,6.816e+03,4.090e+01,1.923e+03,8.780e+03
153.0,7.173e+03,4.614e+01,1.878e+03,9.097e+03
154.5,7.512e+03,4.788e+01,1.788e+03,9.348e+03
156.0,8.122e+03,4.424e+01,1.599e+03,9.765e+03
157.5,8.665e+03,4.181e+01,1.272e+03,9.979e+03
159.0,9.681e+03,3.881e+01,9.453e+02,1.066e+04
160.5,1.060e+04,4.082e+01,7.158e+02,1.135e+04
162.0,1.100e+04,4.093e+01,5.725e+02,1.161e+04
163.5,1.138e+04,3.970e+01,5.266e+02,1.195e+04
165.0,1.095e+04,4.061e+01,5.026e+02,1.150e+04
166.5,1.059e+04,4.365e+01,5.444e+02,1.118e+04
168.0,1.056e+04,5.171e+01,4.893e+02,1.110e+04
169.5,8.835e+03,5.872e+01,3.471e+02,9.241e+03
171.0,7.047e+03,6.127e+01,3.070e+02,7.415e+03
172.5,5.475e+03,6.239e+01,2.891e+02,5.826e+03
174.0,4.203e+03,6.583e+01,2.496e+02,4.519e+03
175.5,3.282e+03,7.144e+01,2.074e+02,3.561e+03
177.0,2.806e+03,8.483e+01,2.103e+02,3.101e+03
178.5,2.567e+03,8.912e+01,2.172e+02,2.873e+03
180.0,2.237e+03,8.899e+01,2.341e+02,2.561e+03
181.5,1.811e+03,8.505e+01,2.605e+02,2.156e+03
183.0,1.365e+03,7.656e+01,2.919e+02,1.733e+03
184.5,9.940e+02,7.038e+01,2.987e+02,1.363e+03
186.0,6.915e+02,6.961e+01,2.870e+02,1.048e+03
187.5,4.607e+02,6.476e+01,3.874e+02,9.128e+02
189.0,2.952e+02,6.687e+01,5.243e+02,8.863e+02
190.5,2.237e+02,6.425e+01,7.524e+02,1.040e+03
192.0,2.293e+02,5.881e+01,1.031e+03,1.319e+03
193.5,2.601e+02,5.712e+01,1.406e+03,1.724e+03
195.0,3.078e+02,5.156e+01,1.690e+03,2.049e+03
196.5,3.917e+02,4.747e+01,1.960e+03,2.399e+03
198.0,4.986e+02,4.184e+01,2.204e+03,2.744e+03
199.5,6.176e+02,4.065e+01,2.427e+03,3.086e+03
