freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.640e+01,2.189e+01,2.625e+02,3.107e+02
1.5,1.078e+02,4.306e+01,1.625e+02,3.133e+02
3.0,1.060e+02,5.270e+01,2.931e+01,1.881e+02
4.6,1.067e+02,7.543e+01,2.943e+02,4.764e+02
6.1,1.188e+02,5.162e+01,1.122e+03,1.292e+03
7.6,1.141e+02,3.685e+01,1.879e+03,2.030e+03
9.1,1.343e+02,3.553e+01,2.742e+03,2.912e+03
10.7,1.718e+02,3.422e+01,3.853e+03,4.059e+03
12.2,1.736e+02,3.589e+01,4.810e+03,5.019e+03
13.7,1.318e+02,3.717e+01,5.976e+03,6.145e+03
15.2,1.107e+02,3.911e+01,7.618e+03,7.768e+03
16.8,1.156e+02,4.029e+01,9.237e+03,9.393e+03
18.3,1.259e+02,4.001e+01,1.160e+04,1.177e+04
19.8,1.338e+02,4.316e+01,1.434e+04,1.452e+04
21.3,1.198e+02,3.792e+01,1.722e+04,1.738e+04
22.9,1.300e+02,4.377e+01,2.051e+04,2.069e+04
24.4,1.181e+02,4.682e+01,2.452e+04,2.469e+04
25.9,1.153e+02,4.462e+01,2.907e+04,2.923e+04
27.4,1.278e+02,4.158e+01,3.387e+04,3.404e+04
29.0,1.306e+02,4.041e+01,3.958e+04,3.975e+04
30.5,1.406e+02,4.655e+01,4.629e+04,4.648e+04
32.0,1.357e+02,6.954e+01,5.345e+04,5.365e+04
33.5,1.376e+02,1.131e+02,6.064e+04,6.089e+04
35.1,1.434e+02,1.501e+02,7.044e+04,7.073e+04
36.6,1.457e+02,1.866e+02,8.403e+04,8.436e+04
38.1,1.905e+02,2.285e+02,1.011e+05,1.015e+05
39.6,2.424e+02,2.906e+02,1.220e+05,1.225e+05
41.1,2.465e+02,4.041e+02,1.491e+05,1.497e+05
42.7,2.915e+02,6.751e+02,1.740e+05,1.749e+05
44.2,5.619e+02,1.061e+03,2.022e+05,2.038e+05
45.7,1.168e+03,2.081e+03,2.344e+05,2.377e+05
47.2,1.051e+03,4.213e+03,2.763e+05,2.815e+05
48.8,1.562e+03,6.155e+03,3.387e+05,3.464e+05
50.3,4.507e+03,7.372e+03,4.239e+05,4.358e+05
51.8,7.474e+03,7.054e+03,5.513e+05,5.658e+05
53.3,5.349e+03,4.334e+03,6.710e+05,6.807e+05
54.9,2.051e+03,3.102e+03,6.187e+05,6.238e+05
56.4,1.587e+03,3.724e+03,4.622e+05,4.675e+05
57.9,2.312e+03,3.598e+03,3.194e+05,3.253e+05
59.4,2.465e+03,2.857e+03,2.229e+05,2.282e+05
61.0,2.501e+03,2.042e+03,1.532e+05,1.577e+05
62.5,2.052e+03,1.189e+03,9.399e+04,9.723e+04
64.0,1.428e+03,7.526e+02,5.677e+04,5.895e+04
65.5,1.301e+03,7.528e+02,4.097e+04,4.303e+04
67.1,1.572e+03,1.050e+03,4.668e+04,4.931e+04
68.6,2.263e+03,1.276e+03,6.602e+04,6.956e+04
70.1,2.529e+03,1.981e+03,9.718e+04,1.017e+05
71.6,1.837e+03,6.206e+03,1.366e+05,1.447e+05
73.2,1.400e+03,1.404e+04,1.687e+05,1.841e+05
74.7,2.318e+03,2.784e+04,1.873e+05,2.175e+05
76.2,4.456e+03,3.983e+04,1.954e+05,2.397e+05
77.7,5.181e+03,3.878e+04,1.990e+05,2.430e+05
79.2,4.334e+03,3.917e+04,2.150e+05,2.585e+05
80.8,3.703e+03,4.552e+04,2.377e+05,2.869e+05
82.3,3.295e+03,4.503e+04,2.165e+05,2.648e+05
83.8,2.451e+03,3.545e+04,1.960e+05,2.339e+05
85.3,2.584e+03,3.906e+04,1.886e+05,2.302e+05
86.9,3.121e+03,4.856e+04,1.827e+05,2.344e+05
88.4,3.463e+03,5.478e+04,1.753e+05,2.335e+05
89.9,3.410e+03,4.521e+04,1.691e+05,2.177e+05
91.4,3.462e+03,4.370e+04,1.696e+05,2.168e+05
93.0,3.194e+03,4.147e+04,1.537e+05,1.984e+05
94.5,2.984e+03,3.328e+04,1.332e+05,1.695e+05
96.0,3.085e+03,2.674e+04,1.246e+05,1.545e+05
97.5,3.438e+03,2.244e+04,1.187e+05,1.446e+05
99.1,4.039e+03,1.973e+04,1.104e+05,1.341e+05
100.6,4.638e+03,1.752e+04,1.030e+05,1.252e+05
102.1,5.264e+03,1.549e+04,9.704e+04,1.178e+05
103.6,5.799e+03,1.350e+04,8.721e+04,1.065e+05
105.2,5.736e+03,1.117e+04,7.895e+04,9.586e+04
106.7,5.459e+03,9.117e+03,7.484e+04,8.941e+04
108.2,5.418e+03,9.678e+03,7.457e+04,8.966e+04
109.7,6.169e+03,1.346e+04,7.827e+04,9.790e+04
111.3,7.268e+03,1.805e+04,8.119e+04,1.065e+05
112.8,7.028e+03,1.811e+04,7.946e+04,1.046e+05
114.3,6.418e+03,1.617e+04,7.717e+04,9.976e+04
115.8,5.838e+03,1.462e+04,7.310e+04,9.356e+04
117.3,5.555e+03,1.357e+04,6.559e+04,8.472e+04
118.9,6.267e+03,1.201e+04,5.923e+04,7.751e+04
120.4,5.962e+03,1.151e+04,5.550e+04,7.298e+04
121.9,4.701e+03,1.327e+04,5.414e+04,7.212e+04
123.4,3.743e+03,1.492e+04,5.449e+04,7.316e+04
125.0,3.241e+03,1.600e+04,5.234e+04,7.158e+04
126.5,3.041e+03,1.589e+04,4.880e+04,6.773e+04
128.0,3.295e+03,1.582e+04,4.516e+04,6.428e+04
129.5,3.901e+03,1.571e+04,4.124e+04,6.085e+04
131.1,4.474e+03,1.509e+04,3.701e+04,5.658e+04
132.6,3.672e+03,1.077e+04,2.510e+04,3.955e+04
134.1,9.548e+02,2.276e+03,5.001e+03,8.232e+03
135.6,3.644e+02,5.882e+02,8.982e+02,1.851e+03
137.2,3.807e+02,6.235e+02,5.890e+02,1.593e+03
138.7,4.306e+02,7.638e+02,3.570e+02,1.551e+03
140.2,4.865e+02,1.035e+03,3.554e+02,1.877e+03
141.7,6.634e+02,1.500e+03,4.096e+02,2.573e+03
143.3,8.264e+02,1.975e+03,4.865e+02,3.288e+03
144.8,8.952e+02,1.948e+03,7.347e+02,3.578e+03
146.3,8.922e+02,1.677e+03,1.071e+03,3.640e+03
147.8,1.252e+03,2.146e+03,1.653e+03,5.050e+03
149.4,1.870e+03,3.050e+03,2.726e+03,7.646e+03
150.9,2.395e+03,3.994e+03,4.343e+03,1.073e+04
152.4,2.815e+03,5.080e+03,6.029e+03,1.392e+04
153.9,3.187e+03,6.345e+03,7.629e+03,1.716e+04
155.4,4.068e+03,8.522e+03,9.998e+03,2.259e+04
157.0,5.492e+03,1.149e+04,1.334e+04,3.032e+04
158.5,7.303e+03,1.508e+04,1.713e+04,3.951e+04
160.0,9.259e+03,1.804e+04,1.984e+04,4.715e+04
161.5,1.002e+04,1.840e+04,2.059e+04,4.900e+04
163.1,8.323e+03,1.948e+04,2.095e+04,4.875e+04
164.6,9.944e+03,2.198e+04,2.515e+04,5.708e+04
166.1,1.065e+04,1.970e+04,2.449e+04,5.484e+04
167.6,9.925e+03,1.682e+04,2.029e+04,4.703e+04
169.2,7.329e+03,1.231e+04,1.292e+04,3.256e+04
170.7,6.385e+03,1.199e+04,1.333e+04,3.171e+04
172.2,6.808e+03,1.364e+04,1.493e+04,3.538e+04
173.7,7.453e+03,1.564e+04,1.628e+04,3.938e+04
175.3,7.976e+03,1.706e+04,1.764e+04,4.268e+04
176.8,9.697e+03,1.965e+04,2.150e+04,5.085e+04
178.3,1.023e+04,2.312e+04,2.305e+04,5.639e+04
179.8,9.573e+03,2.317e+04,2.250e+04,5.524e+04
181.4,1.130e+04,1.832e+04,2.518e+04,5.481e+04
182.9,9.991e+03,1.203e+04,1.955e+04,4.157e+04
184.4,7.836e+03,1.083e+04,1.798e+04,3.665e+04
185.9,8.991e+03,1.070e+04,2.369e+04,4.338e+04
187.5,8.346e+03,8.312e+03,2.487e+04,4.152e+04
189.0,7.511e+03,6.223e+03,2.334e+04,3.707e+04
190.5,6.854e+03,5.054e+03,2.131e+04,3.322e+04
192.0,6.559e+03,4.769e+03,1.984e+04,3.117e+04
193.5,6.391e+03,4.988e+03,1.772e+04,2.910e+04
195.1,5.857e+03,5.115e+03,1.477e+04,2.574e+04
196.6,5.291e+03,5.818e+03,1.263e+04,2.374e+04
198.1,5.161e+03,6.196e+03,1.078e+04,2.214e+04
199.6,4.886e+03,6.320e+03,8.848e+03,2.005e+04
