freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.006e+02,9.587e+00,1.893e+01,6.291e+02
1.5,3.419e+02,2.594e+01,2.110e+01,3.889e+02
2.9,2.070e+01,2.802e+01,1.257e+01,6.129e+01
4.4,4.091e+02,2.794e+01,1.512e+01,4.522e+02
5.9,1.781e+03,3.009e+01,2.605e+01,1.837e+03
7.4,3.026e+03,2.945e+01,3.674e+01,3.092e+03
8.8,4.310e+03,3.206e+01,4.666e+01,4.389e+03
10.3,5.732e+03,3.306e+01,6.073e+01,5.826e+03
11.8,7.280e+03,3.412e+01,7.715e+01,7.391e+03
13.2,8.935e+03,3.605e+01,8.711e+01,9.058e+03
14.7,1.097e+04,3.401e+01,1.057e+02,1.111e+04
16.2,1.366e+04,3.510e+01,1.311e+02,1.382e+04
17.6,1.701e+04,3.800e+01,1.600e+02,1.721e+04
19.1,2.159e+04,3.969e+01,2.008e+02,2.183e+04
20.6,2.765e+04,3.900e+01,2.585e+02,2.795e+04
22.1,3.302e+04,3.997e+01,2.984e+02,3.336e+04
23.5,3.705e+04,4.097e+01,3.307e+02,3.742e+04
25.0,4.115e+04,4.427e+01,3.603e+02,4.155e+04
26.5,4.500e+04,4.435e+01,4.037e+02,4.545e+04
27.9,4.996e+04,4.947e+01,4.376e+02,5.044e+04
29.4,5.725e+04,5.743e+01,4.861e+02,5.780e+04
30.9,7.100e+04,5.211e+01,6.091e+02,7.167e+04
32.4,8.994e+04,4.919e+01,7.607e+02,9.075e+04
33.8,1.036e+05,5.708e+01,8.850e+02,1.045e+05
35.3,1.150e+05,5.163e+01,9.587e+02,1.160e+05
36.8,1.280e+05,4.653e+01,9.608e+02,1.290e+05
38.2,1.448e+05,3.931e+01,9.429e+02,1.458e+05
39.7,1.636e+05,6.603e+01,1.180e+03,1.648e+05
41.2,1.807e+05,1.281e+02,1.796e+03,1.826e+05
42.6,1.985e+05,1.585e+02,2.343e+03,2.011e+05
44.1,2.238e+05,2.158e+02,2.602e+03,2.266e+05
45.6,2.563e+05,2.441e+02,2.628e+03,2.592e+05
47.1,2.954e+05,2.240e+02,2.479e+03,2.981e+05
48.5,3.467e+05,2.136e+02,2.404e+03,3.493e+05
50.0,4.164e+05,2.222e+02,2.434e+03,4.191e+05
51.5,5.138e+05,2.309e+02,2.843e+03,5.169e+05
52.9,6.513e+05,1.859e+02,4.795e+03,6.562e+05
54.4,8.418e+05,4.917e+02,9.103e+03,8.514e+05
55.9,1.118e+06,2.567e+03,1.696e+04,1.138e+06
57.4,1.527e+06,5.734e+03,2.945e+04,1.562e+06
58.8,2.154e+06,9.495e+03,4.635e+04,2.210e+06
60.3,2.761e+06,1.719e+04,6.173e+04,2.840e+06
61.8,2.825e+06,2.354e+04,6.573e+04,2.914e+06
63.2,2.445e+06,2.432e+04,5.988e+04,2.529e+06
64.7,1.886e+06,2.085e+04,4.859e+04,1.955e+06
66.2,1.394e+06,1.706e+04,3.745e+04,1.448e+06
67.6,1.013e+06,1.439e+04,2.838e+04,1.056e+06
69.1,7.289e+05,1.271e+04,2.144e+04,7.631e+05
70.6,5.339e+05,1.289e+04,1.681e+04,5.636e+05
72.1,3.720e+05,1.156e+04,1.204e+04,3.956e+05
73.5,2.705e+05,1.093e+04,9.655e+03,2.911e+05
75.0,1.875e+05,1.225e+04,8.640e+03,2.084e+05
76.5,1.410e+05,1.398e+04,6.780e+03,1.617e+05
77.9,1.059e+05,1.487e+04,4.925e+03,1.257e+05
79.4,6.830e+04,1.394e+04,2.991e+03,8.523e+04
80.9,4.351e+04,1.215e+04,1.610e+03,5.726e+04
82.4,2.958e+04,9.443e+03,8.091e+02,3.983e+04
83.8,2.548e+04,5.711e+03,4.162e+02,3.160e+04
85.3,1.708e+04,2.948e+03,2.701e+02,2.030e+04
86.8,9.988e+03,1.577e+03,3.512e+02,1.192e+04
88.2,9.043e+03,9.851e+02,4.412e+02,1.047e+04
89.7,6.806e+03,8.193e+02,6.822e+02,8.307e+03
91.2,7.414e+03,7.234e+02,1.258e+03,9.396e+03
92.6,1.168e+04,6.653e+02,1.794e+03,1.414e+04
94.1,1.925e+04,4.398e+02,1.537e+03,2.123e+04
95.6,3.348e+04,7.713e+02,3.109e+03,3.736e+04
97.1,6.221e+04,1.560e+03,7.919e+03,7.169e+04
98.5,9.932e+04,1.980e+03,1.288e+04,1.142e+05
100.0,1.257e+05,1.963e+03,1.613e+04,1.438e+05
101.5,1.407e+05,1.576e+03,1.699e+04,1.593e+05
102.9,1.466e+05,1.350e+03,1.805e+04,1.660e+05
104.4,1.435e+05,1.682e+03,2.137e+04,1.666e+05
105.9,1.342e+05,2.150e+03,2.507e+04,1.614e+05
107.4,1.240e+05,2.799e+03,2.939e+04,1.561e+05
108.8,1.095e+05,3.560e+03,3.269e+04,1.457e+05
110.3,8.810e+04,3.662e+03,3.168e+04,1.234e+05
111.8,6.909e+04,3.381e+03,2.906e+04,1.015e+05
113.2,5.653e+04,3.303e+03,2.702e+04,8.686e+04
114.7,4.960e+04,3.069e+03,2.425e+04,7.692e+04
116.2,4.597e+04,2.525e+03,2.085e+04,6.935e+04
117.7,4.237e+04,1.824e+03,2.135e+04,6.554e+04
119.1,4.448e+04,1.835e+03,3.690e+04,8.321e+04
120.6,5.674e+04,2.664e+03,6.237e+04,1.218e+05
122.1,7.518e+04,3.691e+03,8.453e+04,1.634e+05
123.5,1.003e+05,4.949e+03,1.031e+05,2.084e+05
125.0,1.114e+05,5.466e+03,9.851e+04,2.153e+05
126.5,1.095e+05,5.041e+03,7.323e+04,1.878e+05
127.9,1.047e+05,4.265e+03,5.032e+04,1.593e+05
129.4,1.001e+05,3.412e+03,3.550e+04,1.390e+05
130.9,1.014e+05,2.471e+03,2.669e+04,1.305e+05
132.4,9.028e+04,1.485e+03,1.898e+04,1.107e+05
133.8,2.986e+04,4.025e+02,5.428e+03,3.570e+04
135.3,6.667e+03,8.233e+01,8.023e+02,7.552e+03
136.8,6.078e+03,7.460e+01,6.527e+02,6.805e+03
138.2,5.627e+03,1.033e+02,5.813e+02,6.312e+03
139.7,4.946e+03,1.243e+02,4.924e+02,5.563e+03
141.2,4.437e+03,1.304e+02,5.017e+02,5.069e+03
142.7,4.097e+03,1.112e+02,4.713e+02,4.679e+03
144.1,4.016e+03,1.011e+02,5.268e+02,4.644e+03
145.6,4.105e+03,1.128e+02,6.916e+02,4.910e+03
147.1,4.363e+03,1.413e+02,9.205e+02,5.425e+03
148.5,4.828e+03,1.706e+02,1.215e+03,6.214e+03
150.0,5.129e+03,1.937e+02,1.520e+03,6.843e+03
151.5,5.639e+03,2.160e+02,1.759e+03,7.613e+03
152.9,6.999e+03,2.354e+02,1.804e+03,9.038e+03
154.4,9.752e+03,2.534e+02,1.760e+03,1.177e+04
155.9,1.409e+04,2.603e+02,1.903e+03,1.625e+04
157.4,1.878e+04,2.368e+02,1.777e+03,2.080e+04
158.8,2.342e+04,2.201e+02,1.532e+03,2.518e+04
160.3,2.720e+04,2.173e+02,1.247e+03,2.866e+04
161.8,2.700e+04,2.012e+02,1.075e+03,2.828e+04
163.2,2.564e+04,1.953e+02,1.068e+03,2.690e+04
164.7,2.590e+04,2.170e+02,1.192e+03,2.731e+04
166.2,3.062e+04,2.438e+02,1.530e+03,3.239e+04
167.7,3.672e+04,2.213e+02,1.942e+03,3.888e+04
169.1,3.484e+04,1.609e+02,1.392e+03,3.639e+04
170.6,2.550e+04,1.217e+02,5.351e+02,2.616e+04
172.1,1.932e+04,1.077e+02,2.779e+02,1.970e+04
173.5,1.862e+04,1.027e+02,3.743e+02,1.910e+04
175.0,2.027e+04,1.117e+02,5.666e+02,2.095e+04
176.5,2.082e+04,1.374e+02,6.586e+02,2.162e+04
177.9,1.761e+04,1.590e+02,4.206e+02,1.819e+04
179.4,1.262e+04,1.489e+02,2.852e+02,1.305e+04
180.9,7.717e+03,1.260e+02,2.599e+02,8.103e+03
182.4,4.580e+03,1.032e+02,2.119e+02,4.895e+03
183.8,2.815e+03,8.254e+01,1.862e+02,3.084e+03
185.3,1.873e+03,7.323e+01,1.885e+02,2.135e+03
186.8,1.400e+03,6.569e+01,2.160e+02,1.681e+03
188.2,1.189e+03,5.520e+01,2.297e+02,1.474e+03
189.7,1.143e+03,5.460e+01,2.426e+02,1.440e+03
191.2,1.108e+03,4.998e+01,2.339e+02,1.392e+03
192.7,1.061e+03,4.496e+01,2.221e+02,1.328e+03
194.1,1.134e+03,3.845e+01,2.496e+02,1.422e+03
195.6,1.229e+03,3.172e+01,2.738e+02,1.534e+03
197.1,1.356e+03,3.411e+01,3.397e+02,1.730e+03
198.5,1.372e+03,3.400e+01,3.675e+02,1.773e+03
