freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.632e+01,2.583e+01,5.849e+02,6.370e+02
1.4,3.067e+01,4.855e+01,3.363e+02,4.155e+02
2.9,2.257e+01,4.563e+01,2.302e+01,9.122e+01
4.3,2.479e+01,4.363e+01,3.769e+02,4.453e+02
5.8,3.655e+01,4.509e+01,1.798e+03,1.880e+03
7.2,4.661e+01,5.011e+01,3.058e+03,3.155e+03
8.7,5.660e+01,5.222e+01,4.367e+03,4.476e+03
10.1,6.654e+01,5.754e+01,5.992e+03,6.116e+03
11.6,8.149e+01,6.670e+01,8.679e+03,8.827e+03
13.0,1.205e+02,6.506e+01,1.251e+04,1.270e+04
14.5,1.722e+02,6.136e+01,1.612e+04,1.635e+04
15.9,2.049e+02,6.076e+01,1.964e+04,1.990e+04
17.4,2.375e+02,6.185e+01,2.398e+04,2.428e+04
18.8,2.706e+02,6.084e+01,2.929e+04,2.962e+04
20.3,3.133e+02,6.320e+01,3.565e+04,3.602e+04
21.7,3.646e+02,5.986e+01,4.327e+04,4.369e+04
23.2,4.521e+02,6.149e+01,5.161e+04,5.212e+04
24.6,6.085e+02,1.108e+02,6.217e+04,6.289e+04
26.1,7.817e+02,1.186e+02,7.771e+04,7.861e+04
27.5,1.039e+03,5.729e+01,9.956e+04,1.007e+05
29.0,1.472e+03,5.772e+01,1.338e+05,1.354e+05
30.4,1.837e+03,8.860e+01,1.778e+05,1.797e+05
31.9,2.084e+03,1.545e+02,2.360e+05,2.383e+05
33.3,2.661e+03,2.701e+02,3.338e+05,3.367e+05
34.8,3.864e+03,5.450e+02,5.024e+05,5.068e+05
36.2,6.055e+03,7.512e+02,8.271e+05,8.340e+05
37.7,9.598e+03,1.233e+03,1.467e+06,1.478e+06
39.1,1.109e+04,2.513e+03,1.942e+06,1.956e+06
40.6,6.916e+03,2.994e+03,1.471e+06,1.481e+06
42.0,3.521e+03,1.652e+03,8.677e+05,8.728e+05
43.5,2.289e+03,8.890e+02,4.987e+05,5.018e+05
44.9,1.526e+03,1.020e+03,3.287e+05,3.312e+05
46.4,1.553e+03,1.777e+03,2.421e+05,2.454e+05
47.8,4.100e+03,4.332e+03,1.877e+05,1.961e+05
49.2,6.465e+03,6.137e+03,1.577e+05,1.703e+05
50.7,9.437e+03,8.350e+03,1.472e+05,1.650e+05
52.1,1.088e+04,9.854e+03,1.407e+05,1.615e+05
53.6,1.212e+04,1.129e+04,1.429e+05,1.663e+05
55.0,1.705e+04,1.557e+04,1.533e+05,1.859e+05
56.5,2.267e+04,2.217e+04,1.637e+05,2.085e+05
57.9,2.517e+04,2.484e+04,1.673e+05,2.173e+05
59.4,2.855e+04,2.714e+04,1.598e+05,2.155e+05
60.8,3.744e+04,3.928e+04,1.449e+05,2.217e+05
62.3,4.489e+04,5.108e+04,1.254e+05,2.214e+05
63.7,4.459e+04,5.223e+04,1.024e+05,1.992e+05
65.2,4.624e+04,5.316e+04,7.803e+04,1.774e+05
66.6,5.004e+04,6.153e+04,6.301e+04,1.746e+05
68.1,5.087e+04,6.879e+04,6.854e+04,1.882e+05
69.5,4.863e+04,6.792e+04,9.056e+04,2.071e+05
71.0,4.232e+04,6.148e+04,1.051e+05,2.089e+05
72.4,4.142e+04,6.103e+04,1.235e+05,2.259e+05
73.9,4.286e+04,5.171e+04,1.386e+05,2.332e+05
75.3,4.734e+04,4.805e+04,1.441e+05,2.395e+05
76.8,6.051e+04,5.722e+04,1.518e+05,2.695e+05
78.2,6.371e+04,6.162e+04,1.623e+05,2.877e+05
79.7,4.915e+04,6.290e+04,1.685e+05,2.806e+05
81.1,3.095e+04,5.729e+04,1.712e+05,2.594e+05
82.6,1.981e+04,4.529e+04,1.650e+05,2.301e+05
84.0,1.399e+04,3.463e+04,1.485e+05,1.972e+05
85.5,9.060e+03,2.444e+04,1.251e+05,1.586e+05
86.9,6.061e+03,1.723e+04,1.020e+05,1.253e+05
88.4,4.523e+03,1.162e+04,7.966e+04,9.580e+04
89.8,3.866e+03,7.571e+03,6.184e+04,7.328e+04
91.3,2.925e+03,5.209e+03,4.953e+04,5.766e+04
92.7,2.352e+03,4.376e+03,4.613e+04,5.286e+04
94.2,2.337e+03,4.391e+03,5.042e+04,5.715e+04
95.6,2.500e+03,4.354e+03,5.645e+04,6.330e+04
97.0,2.610e+03,4.508e+03,6.463e+04,7.175e+04
98.5,2.570e+03,4.853e+03,7.297e+04,8.040e+04
99.9,2.405e+03,4.514e+03,7.402e+04,8.094e+04
101.4,2.202e+03,3.988e+03,6.851e+04,7.470e+04
102.8,1.763e+03,4.350e+03,6.433e+04,7.044e+04
104.3,1.143e+03,5.160e+03,5.942e+04,6.573e+04
105.7,8.153e+02,6.605e+03,5.790e+04,6.532e+04
107.2,7.990e+02,9.152e+03,6.194e+04,7.189e+04
108.6,1.436e+03,1.316e+04,7.409e+04,8.869e+04
110.1,2.936e+03,1.700e+04,9.147e+04,1.114e+05
111.5,4.710e+03,1.838e+04,1.016e+05,1.247e+05
113.0,5.962e+03,1.856e+04,1.054e+05,1.299e+05
114.4,6.269e+03,1.623e+04,9.119e+04,1.137e+05
115.9,5.804e+03,1.630e+04,9.617e+04,1.183e+05
117.3,4.546e+03,1.619e+04,9.552e+04,1.163e+05
118.8,4.785e+03,1.383e+04,7.645e+04,9.507e+04
120.2,6.659e+03,1.520e+04,8.565e+04,1.075e+05
