freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.304e+01,1.686e+01,6.430e+02,6.729e+02
1.5,1.835e+01,3.667e+01,3.697e+02,4.248e+02
2.9,1.594e+01,3.645e+01,2.063e+01,7.302e+01
4.4,1.869e+01,3.378e+01,4.145e+02,4.670e+02
5.9,2.883e+01,3.418e+01,1.946e+03,2.009e+03
7.3,3.386e+01,4.141e+01,3.189e+03,3.264e+03
8.8,4.034e+01,4.588e+01,4.429e+03,4.515e+03
10.3,4.327e+01,4.678e+01,6.506e+03,6.596e+03
11.8,5.959e+01,4.969e+01,9.725e+03,9.834e+03
13.2,1.046e+02,5.894e+01,1.371e+04,1.387e+04
14.7,1.462e+02,6.258e+01,1.757e+04,1.778e+04
16.2,1.632e+02,5.993e+01,2.179e+04,2.202e+04
17.6,1.902e+02,6.413e+01,2.719e+04,2.745e+04
19.1,2.379e+02,7.079e+01,3.453e+04,3.484e+04
20.6,2.608e+02,6.600e+01,4.292e+04,4.324e+04
22.0,2.875e+02,5.949e+01,5.157e+04,5.191e+04
23.5,3.891e+02,5.046e+01,6.131e+04,6.175e+04
25.0,5.318e+02,5.009e+01,7.483e+04,7.541e+04
26.5,6.563e+02,6.000e+01,9.395e+04,9.467e+04
27.9,8.113e+02,6.717e+01,1.225e+05,1.233e+05
29.4,1.145e+03,9.357e+01,1.746e+05,1.759e+05
30.9,1.399e+03,1.194e+02,2.441e+05,2.456e+05
32.3,1.904e+03,1.134e+02,3.598e+05,3.618e+05
33.8,2.888e+03,4.025e+02,5.608e+05,5.641e+05
35.3,4.476e+03,1.203e+03,8.904e+05,8.961e+05
36.7,7.091e+03,1.846e+03,1.441e+06,1.450e+06
38.2,7.857e+03,2.299e+03,1.722e+06,1.732e+06
39.7,5.484e+03,2.320e+03,1.367e+06,1.375e+06
41.2,3.511e+03,2.161e+03,9.540e+05,9.597e+05
42.6,2.562e+03,1.305e+03,6.882e+05,6.921e+05
44.1,2.103e+03,7.815e+02,5.256e+05,5.285e+05
45.6,1.576e+03,7.915e+02,3.988e+05,4.012e+05
