freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.737e+03,2.633e+01,5.013e+01,2.814e+03
1.5,1.557e+03,3.931e+01,8.057e+01,1.677e+03
3.0,7.449e+01,3.199e+01,4.151e+01,1.480e+02
4.5,1.022e+03,3.265e+01,3.018e+01,1.085e+03
5.9,4.254e+03,3.536e+01,2.785e+01,4.317e+03
7.4,7.230e+03,3.581e+01,3.106e+01,7.297e+03
8.9,1.042e+04,3.887e+01,3.312e+01,1.050e+04
10.4,1.437e+04,3.926e+01,3.697e+01,1.445e+04
11.9,1.815e+04,4.484e+01,4.445e+01,1.824e+04
13.4,2.243e+04,5.576e+01,4.850e+01,2.254e+04
14.9,2.839e+04,6.012e+01,5.795e+01,2.851e+04
16.3,3.512e+04,6.526e+01,6.409e+01,3.525e+04
17.8,4.237e+04,6.981e+01,7.629e+01,4.251e+04
19.3,5.072e+04,6.889e+01,8.856e+01,5.088e+04
20.8,6.062e+04,6.622e+01,9.331e+01,6.078e+04
22.3,7.158e+04,7.347e+01,1.153e+02,7.177e+04
23.8,8.278e+04,8.082e+01,1.466e+02,8.300e+04
25.2,9.532e+04,9.435e+01,1.540e+02,9.557e+04
26.7,1.099e+05,1.015e+02,1.412e+02,1.101e+05
28.2,1.260e+05,1.239e+02,1.806e+02,1.263e+05
29.7,1.443e+05,1.540e+02,2.415e+02,1.447e+05
31.2,1.655e+05,1.789e+02,3.041e+02,1.660e+05
32.7,1.905e+05,2.189e+02,3.923e+02,1.911e+05
34.2,2.177e+05,3.094e+02,5.410e+02,2.185e+05
35.6,2.484e+05,4.312e+02,7.348e+02,2.496e+05
37.1,2.836e+05,5.206e+02,8.282e+02,2.850e+05
38.6,3.239e+05,5.647e+02,7.732e+02,3.253e+05
40.1,3.672e+05,5.769e+02,6.752e+02,3.685e+05
41.6,4.142e+05,5.900e+02,6.563e+02,4.155e+05
43.1,4.660e+05,6.166e+02,7.654e+02,4.674e+05
44.6,5.259e+05,7.251e+02,8.636e+02,5.275e+05
46.0,6.069e+05,8.767e+02,8.625e+02,6.086e+05
47.5,7.059e+05,1.053e+03,7.640e+02,7.077e+05
49.0,8.214e+05,1.255e+03,4.976e+02,8.231e+05
50.5,9.568e+05,1.394e+03,7.410e+02,9.589e+05
52.0,1.123e+06,1.624e+03,2.708e+03,1.127e+06
53.5,1.342e+06,2.049e+03,6.483e+03,1.350e+06
55.0,1.639e+06,2.607e+03,1.153e+04,1.653e+06
56.4,2.073e+06,3.651e+03,1.728e+04,2.094e+06
57.9,2.680e+06,5.564e+03,2.185e+04,2.707e+06
59.4,3.596e+06,6.922e+03,1.705e+04,3.620e+06
60.9,5.157e+06,7.057e+03,8.431e+03,5.172e+06
62.4,7.620e+06,7.379e+03,3.551e+04,7.663e+06
63.9,1.004e+07,1.069e+04,2.046e+05,1.025e+07
65.3,1.115e+07,3.039e+04,4.015e+05,1.158e+07
66.8,1.110e+07,4.991e+04,3.859e+05,1.154e+07
68.3,1.076e+07,6.358e+04,3.614e+05,1.118e+07
69.8,9.898e+06,7.801e+04,3.038e+05,1.028e+07
71.3,8.594e+06,9.225e+04,2.372e+05,8.924e+06
72.8,7.362e+06,1.028e+05,2.089e+05,7.674e+06
74.3,5.856e+06,8.920e+04,1.499e+05,6.095e+06
75.7,4.541e+06,7.011e+04,1.018e+05,4.713e+06
77.2,3.505e+06,5.527e+04,7.099e+04,3.631e+06
78.7,2.672e+06,4.239e+04,4.979e+04,2.764e+06
80.2,1.969e+06,3.161e+04,3.394e+04,2.035e+06
81.7,1.446e+06,2.217e+04,2.166e+04,1.489e+06
83.2,1.147e+06,1.450e+04,1.212e+04,1.174e+06
84.7,1.231e+06,8.511e+03,5.564e+03,1.245e+06
86.1,1.559e+06,3.646e+03,2.500e+03,1.565e+06
87.6,1.738e+06,1.200e+03,1.935e+03,1.741e+06
89.1,1.666e+06,6.570e+02,2.386e+03,1.669e+06
90.6,1.614e+06,7.769e+02,2.688e+03,1.617e+06
92.1,1.774e+06,6.923e+02,2.737e+03,1.778e+06
93.6,2.153e+06,4.811e+02,2.333e+03,2.156e+06
95.1,2.539e+06,3.466e+02,2.101e+03,2.542e+06
96.5,2.933e+06,4.072e+02,1.881e+03,2.935e+06
98.0,3.245e+06,5.764e+02,1.520e+03,3.247e+06
99.5,3.431e+06,1.428e+03,2.107e+03,3.435e+06
101.0,3.330e+06,2.829e+03,3.450e+03,3.336e+06
102.5,2.924e+06,4.147e+03,4.259e+03,2.932e+06
104.0,2.324e+06,6.517e+03,4.784e+03,2.336e+06
105.4,1.931e+06,1.066e+04,6.567e+03,1.948e+06
106.9,1.898e+06,1.436e+04,9.261e+03,1.921e+06
108.4,1.848e+06,1.140e+04,8.288e+03,1.868e+06
109.9,1.799e+06,7.210e+03,5.424e+03,1.812e+06
111.4,1.703e+06,5.388e+03,2.653e+03,1.711e+06
112.9,1.611e+06,3.887e+03,1.362e+03,1.616e+06
114.4,1.511e+06,3.206e+03,8.421e+02,1.515e+06
115.8,1.392e+06,4.020e+03,7.879e+02,1.396e+06
117.3,1.318e+06,9.121e+03,1.892e+03,1.329e+06
118.8,1.243e+06,1.621e+04,4.078e+03,1.263e+06
120.3,1.154e+06,1.635e+04,4.109e+03,1.175e+06
121.8,1.094e+06,1.726e+04,3.709e+03,1.115e+06
123.3,1.038e+06,2.323e+04,4.035e+03,1.066e+06
124.8,9.726e+05,4.146e+04,6.335e+03,1.020e+06
126.2,9.026e+05,6.866e+04,9.440e+03,9.807e+05
127.7,8.494e+05,1.006e+05,1.107e+04,9.610e+05
129.2,8.196e+05,1.442e+05,1.410e+04,9.779e+05
130.7,7.996e+05,1.924e+05,2.088e+04,1.013e+06
132.2,6.924e+05,2.270e+05,2.783e+04,9.473e+05
