#time,accel_x,accel_y,accel_z
21166.748519,2812.782580,-11177.109724,-3370.820191
21166.748853,6217.729913,-11843.295072,-76.609550
21166.749187,7328.038826,-8364.327145,2451.505594
21166.749520,10362.883188,-10214.842000,5439.278036
21166.749854,9622.677246,-8956.491898,4290.134789
21166.750188,11177.109724,-8882.471304,4749.792088
21166.750521,10362.883188,-8068.244768,3294.210641
21166.750855,10066.800811,-7402.059420,383.047749
21166.751189,8808.450710,-5995.668130,-4903.011187
21166.751522,8290.306550,-10658.965565,-1608.800546
21166.751856,9400.615463,-11547.212695,-1302.362347
21166.752190,7624.121203,-9474.636058,-3677.258390
21166.752523,8216.285956,-10066.800811,-3753.867940
21166.752857,7920.203579,-11103.089130,0.000000
21166.753190,6735.874072,-10732.986159,2451.505594
21166.753524,5255.462188,-10436.903782,2068.457845
21166.753858,4737.318029,-9548.656652,2757.943793
21166.754191,6513.812290,-9104.533087,6128.763984
21166.754525,9400.615463,-8290.306550,5439.278036
21166.754859,6513.812290,-4811.338623,3677.258390
21166.755192,4737.318029,-6883.915261,4136.915689
21166.755526,6735.874072,-6513.812290,-2068.457845
21166.755860,6957.935855,-6735.874072,-1685.410096
21166.756193,7846.182985,-8068.244768,-3370.820191
21166.756527,7105.977043,-9918.759623,-4136.915689
21166.756861,7105.977043,-10732.986159,-4903.011187
21166.757194,9474.636058,-12435.459826,-1762.019645
21166.757528,10214.842000,-12139.377449,0.000000
21166.757862,10732.986159,-12361.439231,1225.752797
21166.758195,11473.192101,-12435.459826,3600.648841
21166.758529,11473.192101,-11843.295072,5745.716235
21166.758863,10584.944971,-6291.750507,2451.505594
21166.759196,10066.800811,-7179.997637,7048.078582
21166.759530,11177.109724,-6513.812290,2374.896044
21166.759864,9844.739029,-6217.729913,2757.943793
21166.760197,5921.647536,-7698.141797,-689.485948
21166.760531,4663.297435,-9474.636058,-3140.991542
21166.760864,3478.967927,-10584.944971,-3064.381992
21166.761198,5181.441594,-10066.800811,-2068.457845
21166.761532,5329.482782,-10140.821405,459.657299
21166.761865,5033.400406,-7179.997637,612.876398
21166.762199,11029.068536,-10362.883188,4519.963438
21166.762533,12953.603985,-9178.553681,4826.401637
21166.762866,11177.109724,-6957.935855,2221.676944
21166.763200,11177.109724,-8586.388927,229.828649
21166.763534,9548.656652,-8068.244768,-1302.362347
21166.763867,9548.656652,-8068.244768,-3217.601092
21166.764201,6883.915261,-11029.068536,-3983.696590
21166.764535,6439.791695,-13619.789333,-3753.867940
21166.764868,5921.647536,-12065.356855,0.000000
21166.765202,12139.377449,-11843.295072,6052.154434
21166.765536,13545.768739,-7846.182985,5822.325785
21166.765869,12435.459826,-4811.338623,4903.011187
21166.766203,13545.768739,-7254.018232,4290.134789
21166.766537,11621.233289,-6365.771101,1762.019645
21166.766870,10214.842000,-9474.636058,-612.876398
21166.767204,4293.194464,-11843.295072,-4136.915689
21166.767538,0.000000,-11325.150913,-8963.317327
21166.767871,-1184.329507,-12657.521608,-5592.497135
21166.768205,4071.132681,-13619.789333,-1608.800546
21166.768539,4663.297435,-7105.977043,0.000000
21166.768872,9770.718434,-7105.977043,6971.469032
21166.769206,8586.388927,-6291.750507,7660.954980
21166.769539,9474.636058,-6661.853478,6588.421283
21166.769873,7772.162391,-9474.636058,4136.915689
21166.770207,6809.894666,-9992.780217,2987.772442
21166.770540,4737.318029,-8364.327145,0.000000
21166.770874,5329.482782,-10955.047942,-689.485948
21166.771208,2886.803174,-8364.327145,-5515.887586
21166.771541,-666.185348,-9548.656652,-6128.763984
21166.771875,1628.453072,-11843.295072,-1302.362347
21166.772209,-1184.329507,-10732.986159,-2145.067394
21166.772542,370.102971,-9548.656652,0.000000
21166.772876,5255.462188,-6809.894666,3830.477490
21166.773210,9252.574275,-7105.977043,9116.536426
21166.773543,8438.347739,-3627.009116,7967.393179
21166.773877,9252.574275,-7031.956449,4060.306139
21166.774211,6439.791695,-12065.356855,2604.724693
