#time,accel_x,accel_y,accel_z
20223.960712,8290.306550,-7179.997637,2757.943793
20223.961045,7105.977043,-7772.162391,4749.792088
20223.961379,8512.368333,-9474.636058,-1608.800546
20223.961713,4737.318029,-9548.656652,-1838.629195
20223.962046,5551.544565,-9770.718434,-4136.915689
20223.962380,6143.709319,-9548.656652,-3217.601092
20223.962714,7031.956449,-10066.800811,-2374.896044
20223.963047,7328.038826,-9030.512492,-76.609550
20223.963381,12953.603985,-11843.295072,2374.896044
20223.963715,11843.295072,-6587.832884,6128.763984
20223.964049,15026.180623,-9326.594869,7277.907231
20223.964382,13545.768739,-8586.388927,2451.505594
20223.964716,12657.521608,-10658.965565,3600.648841
20223.965050,7402.059420,-10732.986159,0.000000
20223.965383,3923.091493,-11843.295072,-3753.867940
20223.965717,-592.164754,-12213.398043,-4903.011187
20223.966051,0.000000,-9548.656652,-3370.820191
20223.966384,2294.638420,-7402.059420,-1762.019645
20223.966718,1776.494261,-4811.338623,2451.505594
20223.967052,7179.997637,-7105.977043,4826.401637
20223.967385,8216.285956,-6513.812290,5439.278036
20223.967719,10658.965565,-3849.070898,6665.030833
20223.968053,10584.944971,-6735.874072,4213.525239
20223.968386,8734.430116,-10066.800811,306.438199
20223.968720,5625.565159,-11177.109724,-3447.429741
20223.969054,4367.215058,-14211.954086,-4979.620737
20223.969388,0.000000,-13101.645173,-6128.763984
20223.969721,-74.020594,-14211.954086,-4979.620737
20223.970055,-74.020594,-11843.295072,-3907.087040
20223.970389,0.000000,-9548.656652,1838.629195
20223.970722,2738.761985,-7402.059420,3600.648841
20223.971056,3849.070898,-5403.503377,6281.983084
20223.971390,6735.874072,-5255.462188,9039.926876
20223.971723,8586.388927,-4293.194464,9116.536426
20223.972057,8068.244768,-7105.977043,6665.030833
20223.972391,3552.988522,-8956.491898,1378.971896
20223.972724,1110.308913,-10436.903782,-3753.867940
20223.973058,-3034.844362,-11547.212695,-6894.859482
20223.973392,-5107.421000,-12879.583391,-8350.440928
20223.973725,-8216.285956,-14730.098246,-7967.393179
20223.974059,-8512.368333,-10288.862594,-7201.297681
20223.974393,-4737.318029,-9548.656652,1455.581446
20223.974727,2294.638420,-6217.729913,4060.306139
20223.975060,5329.482782,-2442.679609,6128.763984
20223.975394,12361.439231,-4441.235652,10648.727422
20223.975728,13841.851115,-2664.741391,9116.536426
20223.976061,12731.542202,-5995.668130,5515.887586
20223.976395,10288.862594,-8808.450710,-306.438199
20223.976729,8068.244768,-11843.295072,-4979.620737
20223.977062,0.000000,-13101.645173,-7967.393179
20223.977396,0.000000,-15470.304188,-8733.488677
20223.977730,-666.185348,-16284.530724,-6818.249932
20223.978063,-3552.988522,-13101.645173,-3370.820191
20223.978397,-74.020594,-10658.965565,689.485948
20223.978731,1480.411884,-8068.244768,5745.716235
20223.979065,5403.503377,-4811.338623,8810.098227
20223.979398,9696.697840,-2812.782580,11414.822920
20223.979732,10288.862594,-74.020594,8120.612279
20223.980066,9474.636058,-3627.009116,7890.783629
20223.980399,10288.862594,-5921.647536,2374.896044
20223.980733,9400.615463,-8290.306550,-5898.935335
20223.981067,3108.864956,-12953.603985,-8120.612279
20223.981400,-1184.329507,-14285.974681,-13483.280765
20223.981734,-3701.029710,-17838.963202,-12257.527968
20223.982068,-4515.256246,-18579.169144,-7660.954980
20223.982401,-4589.276840,-16506.592507,-612.876398
20223.982735,-3552.988522,-13397.727550,3677.258390
20223.983069,-2072.576638,-9696.697840,11261.603821
20223.983402,4663.297435,-2960.823768,12793.794817
20223.983736,7105.977043,2294.638420,14709.033562
20223.984070,12139.377449,592.164754,15858.176809
20223.984404,8216.285956,1110.308913,6435.202183
20223.984737,8808.450710,-4071.132681,536.266849
20223.985071,2812.782580,-7624.121203,-5515.887586
20223.985405,-2812.782580,-11991.336260,-13330.061665
20223.985738,-9474.636058,-17246.798449,-18999.168350
20223.986072,-11399.171507,-19985.560434,-15092.081311
20223.986406,-12361.439231,-18949.272115,-8963.317327
20223.986739,-9770.718434,-16580.613101,-2451.505594
20223.987073,-5403.503377,-14211.954086,6665.030833
20223.987407,1702.473667,-7105.977043,14019.547613
20223.987740,3552.988522,-666.185348,20378.140247
20223.988074,7105.977043,2294.638420,20761.187996
20223.988408,9992.780217,1776.494261,12793.794817
20223.988741,7624.121203,0.000000,5822.325785
20223.989075,4959.379811,-2738.761985,-3294.210641
20223.989409,-518.144159,-7698.141797,-11721.261119
20223.989743,-7328.038826,-15470.304188,-17160.539155
20223.990076,-13027.624579,-19023.292709,-20224.921147
20223.990410,-13101.645173,-23094.425390,-16011.395908
20223.990744,-13915.871710,-21391.951724,-6205.373534
20223.991077,-7031.956449,-18061.024985,2374.896044
20223.991411,1110.308913,-9474.636058,11261.603821
20223.991745,7550.100608,-2072.576638,19995.092498
20223.992078,11843.295072,2738.761985,22216.769442
20223.992412,11251.130318,3404.947333,15398.519510
20223.992746,8734.430116,1480.411884,7660.954980
20223.993079,7105.977043,-962.267725,0.000000
20223.993413,2294.638420,-4145.153275,-10801.946522
20223.993747,-2368.659014,-12065.356855,-14172.766713
20223.994080,-7476.080014,-18949.272115,-18616.120601
20223.994414,-11843.295072,-20207.622217,-16547.662757
20223.994748,-9474.636058,-20503.704593,-9193.145976
20223.995082,-4367.215058,-19097.313304,-76.609550
20223.995415,1702.473667,-13915.871710,8044.002729
20223.995749,8882.471304,-5847.626942,16394.443657
20223.996083,14137.933492,-4737.318029,19535.435199
20223.996416,9918.759623,2294.638420,15321.909960
20223.996750,11769.274478,0.000000,9729.412825
20223.997084,7031.956449,-1184.329507,1455.581446
20223.997417,2368.659014,-3034.844362,-4596.572988
20223.997751,-666.185348,-8882.471304,-11108.384721
20223.998085,-6513.812290,-14656.077652,-14249.376263
20223.998418,-8364.327145,-17172.777854,-12717.185267
20223.998752,-6661.853478,-18653.189738,-6511.811733
20223.999086,-3034.844362,-17172.777854,-689.485948
20223.999419,0.000000,-14878.139434,8963.317327
20223.999753,5847.626942,-11251.130318,9652.803275
20224.000087,7105.977043,-5995.668130,11338.213370
20224.000421,8956.491898,-6217.729913,11568.042020
