#time,accel_x,accel_y,accel_z
20334.765618,7920.203579,-7698.141797,2374.896044
20334.765952,8290.306550,-8956.491898,6128.763984
20334.766285,11769.274478,-9474.636058,2374.896044
20334.766619,9474.636058,-8364.327145,3064.381992
20334.766952,9992.780217,-9474.636058,0.000000
20334.767286,7550.100608,-10140.821405,-1915.238745
20334.767619,6069.688724,-9622.677246,-3064.381992
20334.767953,9252.574275,-10066.800811,-1608.800546
20334.768286,10584.944971,-11251.130318,-2528.115143
20334.768620,7994.224174,-7920.203579,-1225.752797
20334.768953,9474.636058,-8364.327145,3677.258390
20334.769287,14137.933492,-8882.471304,3600.648841
20334.769620,12139.377449,-9770.718434,5286.058936
20334.769954,11177.109724,-10881.027347,2221.676944
20334.770287,7698.141797,-10955.047942,1685.410096
20334.770621,4663.297435,-11251.130318,-383.047749
20334.770954,4071.132681,-10362.883188,-689.485948
20334.771288,1628.453072,-7179.997637,-3677.258390
20334.771621,2368.659014,-7772.162391,995.924147
20334.771955,5847.626942,-7105.977043,2374.896044
20334.772288,7031.956449,-4219.173869,-2451.505594
20334.772622,8290.306550,-7624.121203,2374.896044
20334.772955,9104.533087,-7476.080014,1225.752797
20334.773289,10066.800811,-8364.327145,2068.457845
20334.773623,7698.141797,-9844.739029,-766.095498
20334.773956,7031.956449,-11843.295072,-2221.676944
20334.774290,5551.544565,-12361.439231,-2068.457845
20334.774623,3849.070898,-11917.315666,-2451.505594
20334.774957,2442.679609,-12361.439231,-2145.067394
20334.775290,0.000000,-11917.315666,-1225.752797
20334.775624,0.000000,-8956.491898,1225.752797
20334.775957,4071.132681,-7105.977043,2681.334243
20334.776291,3404.947333,-3627.009116,3140.991542
20334.776624,4737.318029,-5107.421000,6588.421283
20334.776958,4145.153275,-5107.421000,4290.134789
20334.777291,4737.318029,-7328.038826,4060.306139
20334.777625,2294.638420,-9178.553681,-689.485948
20334.777958,-1554.432478,-12731.542202,-3217.601092
20334.778292,-2738.761985,-14211.954086,-4979.620737
20334.778625,-7031.956449,-10881.027347,-4519.963438
20334.778959,-2442.679609,-11843.295072,-4979.620737
20334.779292,-4663.297435,-8956.491898,153.219100
20334.779626,0.000000,-7179.997637,5209.449386
20334.779959,5255.462188,-4145.153275,6358.592633
20334.780293,6809.894666,-4441.235652,5975.544884
20334.780626,8068.244768,-3182.885551,3524.039291
20334.780960,9178.553681,-5995.668130,1838.629195
20334.781293,9474.636058,-7476.080014,0.000000
20334.781627,6513.812290,-11029.068536,-919.314598
20334.781960,3552.988522,-11917.315666,-7354.516781
20334.782294,2960.823768,-15470.304188,-2681.334243
20334.782627,1998.556043,-15840.407159,-3140.991542
20334.782961,518.144159,-11843.295072,-1915.238745
20334.783294,2294.638420,-11547.212695,1302.362347
20334.783628,4145.153275,-7772.162391,5592.497135
20334.783961,6883.915261,-3923.091493,7507.735880
20334.784295,8808.450710,-2886.803174,7201.297681
20334.784628,10584.944971,-4737.318029,6665.030833
20334.784962,7846.182985,-3034.844362,1838.629195
20334.785295,10066.800811,-7179.997637,2374.896044
20334.785629,7624.121203,-9326.594869,-5592.497135
20334.785963,2368.659014,-11325.150913,-7967.393179
20334.786296,1998.556043,-15618.345376,-8733.488677
