#time,accel_x,accel_y,accel_z
22078.054566,8290.306550,-7772.162391,1225.752797
22078.054899,9400.615463,-9326.594869,1302.362347
22078.055233,7624.121203,-9622.677246,-689.485948
22078.055567,6143.709319,-9844.739029,-2681.334243
22078.055900,5847.626942,-11251.130318,-2528.115143
22078.056234,5329.482782,-10732.986159,-1302.362347
22078.056567,6735.874072,-8586.388927,-3983.696590
22078.056901,7105.977043,-8364.327145,1225.752797
22078.057235,12953.603985,-10955.047942,4213.525239
22078.057568,12657.521608,-7994.224174,5132.839837
22078.057902,11917.315666,-7920.203579,3753.867940
22078.058236,12065.356855,-8956.491898,3830.477490
22078.058569,10658.965565,-8956.491898,1991.848295
22078.058903,5033.400406,-10140.821405,0.000000
22078.059236,3478.967927,-13619.789333,-4060.306139
22078.059570,-2368.659014,-10732.986159,-6741.640382
22078.059904,0.000000,-11399.171507,-689.485948
22078.060237,3478.967927,-7994.224174,-383.047749
22078.060571,2812.782580,-4885.359217,842.705048
22078.060904,6365.771101,-4811.338623,3983.696590
22078.061238,10140.821405,-6217.729913,6818.249932
22078.061572,12065.356855,-4885.359217,5286.058936
22078.061905,13027.624579,-8068.244768,4596.572988
22078.062239,11769.274478,-7254.018232,-1838.629195
22078.062572,8290.306550,-9548.656652,-2451.505594
22078.062906,10658.965565,-11769.274478,-2528.115143
22078.063240,8216.285956,-11991.336260,-7048.078582
22078.063573,4737.318029,-11473.192101,-6128.763984
22078.063907,3923.091493,-13397.727550,-3294.210641
22078.064240,5773.606348,-11103.089130,-1685.410096
22078.064574,7402.059420,-9696.697840,1762.019645
22078.064908,11251.130318,-7105.977043,6281.983084
22078.065241,14137.933492,-4293.194464,8273.831378
22078.065575,14656.077652,-4071.132681,9346.365076
22078.065909,12731.542202,-6439.791695,6511.811733
22078.066242,10140.821405,-9252.574275,2681.334243
22078.066576,6217.729913,-9548.656652,-1532.190996
22078.066909,4663.297435,-11251.130318,-4979.620737
22078.067243,1554.432478,-9548.656652,-7354.516781
22078.067577,1776.494261,-11547.212695,-4979.620737
22078.067910,5107.421000,-9474.636058,-3140.991542
22078.068244,7105.977043,-7772.162391,1225.752797
22078.068577,9918.759623,-7179.997637,919.314598
22078.068911,11177.109724,-8882.471304,2298.286494
22078.069245,11473.192101,-8956.491898,2528.115143
22078.069578,13989.892304,-7994.224174,4366.744339
22078.069912,12361.439231,-9474.636058,995.924147
22078.070245,10658.965565,-9548.656652,306.438199
22078.070579,10066.800811,-10140.821405,4826.401637
22078.070913,11473.192101,-8882.471304,2374.896044
22078.071246,12731.542202,-8364.327145,2911.162892
22078.071580,10584.944971,-7254.018232,0.000000
22078.071913,11103.089130,-7328.038826,-1072.533697
22078.072247,10658.965565,-6439.791695,-2451.505594
22078.072581,11769.274478,-9474.636058,-3753.867940
22078.072914,11473.192101,-9548.656652,-7201.297681
22078.073248,10584.944971,-15396.283594,-2528.115143
22078.073581,9992.780217,-14211.954086,-1608.800546
22078.073915,7698.141797,-10140.821405,2604.724693
22078.074249,16506.592507,-8290.306550,4826.401637
22078.074582,14359.995275,-5551.544565,7967.393179
22078.074916,15322.262999,-4737.318029,6665.030833
22078.075250,11843.295072,-6883.915261,4060.306139
22078.075583,8290.306550,-7772.162391,0.000000
22078.075917,8882.471304,-8364.327145,-2451.505594
22078.076250,8586.388927,-8956.491898,-689.485948
22078.076584,8808.450710,-8290.306550,-5286.058936
22078.076918,6439.791695,-8882.471304,-7354.516781
22078.077251,7031.956449,-14211.954086,-4136.915689
22078.077585,7994.224174,-10584.944971,-995.924147
22078.077918,9178.553681,-10436.903782,1532.190996
22078.078252,12213.398043,-7105.977043,5515.887586
22078.078586,14804.118840,-7179.997637,7967.393179
22078.078919,15840.407159,-6513.812290,8120.612279
22078.079253,11843.295072,-7772.162391,3907.087040
22078.079586,7994.224174,-10436.903782,0.000000
22078.079920,9400.615463,-10658.965565,-76.609550
22078.080254,12361.439231,-8734.430116,-76.609550
22078.080587,9400.615463,-7846.182985,-4596.572988
22078.080921,5033.400406,-9918.759623,-5209.449386
22078.081254,5847.626942,-14211.954086,-5592.497135
22078.081588,9252.574275,-11251.130318,-76.609550
