#time,accel_x,accel_y,accel_z
20554.859470,4663.297435,-7624.121203,-4903.011187
20554.859803,2368.659014,-9844.739029,-4060.306139
20554.860137,4663.297435,-9474.636058,-5975.544884
20554.860471,3997.112087,-10732.986159,-3753.867940
20554.860805,5477.523971,-10807.006753,-1915.238745
20554.861138,8734.430116,-10658.965565,1915.238745
20554.861472,10658.965565,-8364.327145,4903.011187
20554.861806,9474.636058,-6587.832884,7660.954980
20554.862140,14137.933492,-9326.594869,4826.401637
20554.862473,11843.295072,-5995.668130,1532.190996
20554.862807,11843.295072,-8808.450710,3907.087040
20554.863141,8882.471304,-8364.327145,0.000000
20554.863475,6365.771101,-9992.780217,-3830.477490
20554.863808,3552.988522,-12731.542202,-4979.620737
20554.864142,740.205942,-11917.315666,-5822.325785
20554.864476,1702.473667,-12879.583391,-4060.306139
20554.864810,1184.329507,-11843.295072,-76.609550
20554.865144,6735.874072,-9474.636058,3600.648841
20554.865477,7402.059420,-4811.338623,8580.269578
20554.865811,12435.459826,-5181.441594,11874.480219
20554.866145,13841.851115,-5699.585753,9729.412825
20554.866479,11917.315666,-5773.606348,5898.935335
20554.866812,11103.089130,-6365.771101,1225.752797
20554.867146,9622.677246,-8364.327145,-2987.772442
20554.867480,4737.318029,-8364.327145,-8886.707777
20554.867814,4663.297435,-12435.459826,-10648.727422
20554.868147,2960.823768,-11029.068536,-9806.022374
20554.868481,4737.318029,-14137.933492,-3753.867940
20554.868815,5699.585753,-11991.336260,-4136.915689
20554.869149,7624.121203,-11621.233289,2987.772442
20554.869482,9400.615463,-9178.553681,6435.202183
20554.869816,12509.480420,-5995.668130,9806.022374
20554.870150,13471.748144,-5921.647536,10801.946522
20554.870484,9474.636058,-4219.173869,7507.735880
20554.870817,8438.347739,-6957.935855,4596.572988
20554.871151,4663.297435,-7698.141797,0.000000
20554.871485,-74.020594,-11103.089130,-4979.620737
20554.871819,-4737.318029,-11029.068536,-8427.050478
20554.872152,-7254.018232,-11843.295072,-8044.002729
20554.872486,-3034.844362,-14211.954086,-4979.620737
20554.872820,-3627.009116,-9548.656652,-3983.696590
