#time,accel_x,accel_y,accel_z
22310.164092,5329.482782,-11029.068536,306.438199
22310.164425,7846.182985,-8512.368333,2757.943793
22310.164759,9844.739029,-8734.430116,4903.011187
22310.165092,11103.089130,-9400.615463,5286.058936
22310.165426,11843.295072,-8068.244768,5209.449386
22310.165760,9622.677246,-5995.668130,1838.629195
22310.166093,12953.603985,-8882.471304,1149.143247
22310.166427,9400.615463,-9030.512492,-2604.724693
22310.166760,6513.812290,-9548.656652,-2298.286494
22310.167094,9400.615463,-11843.295072,-2528.115143
22310.167428,5329.482782,-11695.253884,-2604.724693
22310.167761,4145.153275,-12065.356855,-3140.991542
22310.168095,3701.029710,-11843.295072,-1532.190996
22310.168428,4441.235652,-11103.089130,2374.896044
22310.168762,5773.606348,-9474.636058,6358.592633
22310.169096,9104.533087,-7105.977043,5132.839837
22310.169429,8290.306550,-3627.009116,5515.887586
22310.169763,10214.842000,-6513.812290,9116.536426
22310.170096,7920.203579,-2442.679609,2451.505594
22310.170430,8290.306550,-7105.977043,-76.609550
22310.170764,6365.771101,-7402.059420,-3830.477490
22310.171097,6143.709319,-9178.553681,-5745.716235
22310.171431,5699.585753,-10955.047942,-7124.688131
22310.171764,6143.709319,-13027.624579,-7431.126331
22310.172098,7920.203579,-11325.150913,-6128.763984
22310.172431,9474.636058,-12805.562797,1685.410096
22310.172765,12953.603985,-14211.954086,4826.401637
22310.173099,9696.697840,-8364.327145,2757.943793
22310.173432,12509.480420,-9474.636058,6971.469032
22310.173766,12435.459826,-5995.668130,7354.516781
22310.174099,13693.809927,-5329.482782,7277.907231
22310.174433,11177.109724,-5921.647536,3524.039291
22310.174767,9400.615463,-8882.471304,-76.609550
22310.175100,5773.606348,-8956.491898,-2911.162892
22310.175434,3478.967927,-10436.903782,-5898.935335
22310.175767,1776.494261,-11399.171507,-6971.469032
22310.176101,1184.329507,-11917.315666,-4290.134789
22310.176435,4737.318029,-11769.274478,-76.609550
22310.176768,9104.533087,-8586.388927,1762.019645
22310.177102,12657.521608,-7254.018232,3983.696590
22310.177435,14211.954086,-7328.038826,8503.660028
22310.177769,12731.542202,-5255.462188,4060.306139
22310.178103,12065.356855,-7402.059420,1762.019645
22310.178436,9696.697840,-7772.162391,-1991.848295
22310.178770,7994.224174,-9178.553681,-3983.696590
22310.179103,7920.203579,-11251.130318,-2528.115143
22310.179437,4885.359217,-13397.727550,-1608.800546
22310.179771,4663.297435,-11029.068536,-4903.011187
22310.180104,9474.636058,-9548.656652,0.000000
22310.180438,15396.283594,-8660.409521,8350.440928
22310.180771,17616.901420,-6217.729913,7354.516781
22310.181105,16210.510130,-7624.121203,5362.668486
22310.181439,15470.304188,-7031.956449,2987.772442
22310.181772,12879.583391,-9252.574275,1225.752797
22310.182106,9474.636058,-8512.368333,-3064.381992
22310.182439,4441.235652,-13619.789333,-6205.373534
22310.182773,3034.844362,-9548.656652,-9193.145976
22310.183107,7402.059420,-9844.739029,-1532.190996
22310.183440,13323.706956,-9474.636058,3294.210641
22310.183774,12213.398043,-7105.977043,2987.772442
22310.184107,11547.212695,-8660.409521,3983.696590
22310.184441,13175.665768,-10362.883188,5362.668486
22310.184774,14804.118840,-8068.244768,5975.544884
22310.185108,14211.954086,-8660.409521,4903.011187
22310.185442,16506.592507,-8290.306550,995.924147
22310.185775,12731.542202,-8660.409521,0.000000
22310.186109,12953.603985,-9474.636058,-1915.238745
22310.186442,7031.956449,-11473.192101,-6741.640382
22310.186776,2960.823768,-11029.068536,-6128.763984
22310.187110,4145.153275,-10288.862594,-3753.867940
22310.187443,8882.471304,-7698.141797,-1838.629195
22310.187777,12139.377449,-8660.409521,2451.505594
22310.188110,13545.768739,-10510.924376,4826.401637
22310.188444,11325.150913,-8364.327145,7354.516781
22310.188778,14211.954086,-10362.883188,8503.660028
22310.189111,13545.768739,-8290.306550,4826.401637
22310.189445,10658.965565,-5995.668130,2451.505594
22310.189778,10658.965565,-5551.544565,-1225.752797
22310.190112,7402.059420,-8734.430116,-5745.716235
22310.190446,5551.544565,-11547.212695,-6435.202183
22310.190779,5699.585753,-11251.130318,-4213.525239
22310.191113,6439.791695,-12435.459826,-1915.238745
22310.191446,8290.306550,-7179.997637,612.876398
22310.191780,6883.915261,-8290.306550,-995.924147
22310.192114,9474.636058,-8364.327145,1072.533697
22310.192447,11843.295072,-10362.883188,5439.278036
22310.192781,17098.757260,-9104.533087,9346.365076
22310.193114,12361.439231,-6365.771101,3524.039291
22310.193448,7846.182985,-6587.832884,1532.190996
22310.193782,9400.615463,-12435.459826,-76.609550
