#time,accel_x,accel_y,accel_z
21805.596275,3478.967927,-10658.965565,-76.609550
21805.596609,2294.638420,-8586.388927,-2145.067394
21805.596944,1184.329507,-10436.903782,-2528.115143
21805.597278,2294.638420,-9474.636058,-3677.258390
21805.597612,3627.009116,-9844.739029,0.000000
21805.597946,7254.018232,-9474.636058,1685.410096
21805.598281,7698.141797,-8512.368333,4826.401637
21805.598615,8290.306550,-7179.997637,2451.505594
21805.598949,10066.800811,-8956.491898,6052.154434
21805.599283,10584.944971,-7254.018232,1532.190996
21805.599618,8290.306550,-8216.285956,766.095498
21805.599952,8216.285956,-9474.636058,-1915.238745
21805.600286,6957.935855,-9474.636058,-2374.896044
21805.600621,7105.977043,-9104.533087,-2834.553343
21805.600955,7328.038826,-10140.821405,-2451.505594
21805.601289,8808.450710,-11843.295072,-689.485948
21805.601623,7105.977043,-9548.656652,1225.752797
21805.601958,12139.377449,-11621.233289,5745.716235
21805.602292,8068.244768,-7772.162391,919.314598
21805.602626,5329.482782,-10732.986159,3064.381992
21805.602960,5847.626942,-9104.533087,1532.190996
21805.603295,4219.173869,-8956.491898,2757.943793
21805.603629,5995.668130,-7994.224174,3217.601092
21805.603963,4663.297435,-7550.100608,1608.800546
21805.604298,4367.215058,-5995.668130,-1762.019645
21805.604632,4737.318029,-5995.668130,1225.752797
21805.604966,7031.956449,-6957.935855,-1302.362347
21805.605300,8216.285956,-6217.729913,-3983.696590
21805.605635,7698.141797,-8364.327145,-1225.752797
21805.605969,10288.862594,-9252.574275,-1225.752797
21805.606303,9918.759623,-10955.047942,-1532.190996
21805.606637,10510.924376,-11991.336260,-842.705048
21805.606972,9844.739029,-11621.233289,-383.047749
21805.607306,9400.615463,-10807.006753,0.000000
21805.607640,8364.327145,-10658.965565,689.485948
21805.607975,7402.059420,-8808.450710,1915.238745
21805.608309,10066.800811,-7105.977043,3830.477490
21805.608643,12805.562797,-6513.812290,6665.030833
21805.608977,11029.068536,-7105.977043,2374.896044
21805.609312,7105.977043,-5403.503377,-1455.581446
21805.609646,5329.482782,-10140.821405,766.095498
21805.609980,7624.121203,-10658.965565,-689.485948
21805.610314,3552.988522,-9548.656652,-1838.629195
21805.610649,4441.235652,-11621.233289,-1838.629195
21805.610983,6661.853478,-9622.677246,0.000000
21805.611317,9030.512492,-7624.121203,1915.238745
21805.611652,12361.439231,-8882.471304,2987.772442
21805.611986,11769.274478,-8882.471304,536.266849
21805.612320,8290.306550,-8364.327145,1302.362347
21805.612654,10658.965565,-8364.327145,1149.143247
21805.612989,10584.944971,-9326.594869,-3447.429741
21805.613323,9400.615463,-11029.068536,-1685.410096
21805.613657,7254.018232,-12805.562797,-1378.971896
21805.613991,8216.285956,-11769.274478,1532.190996
21805.614326,9030.512492,-10658.965565,3830.477490
21805.614660,11843.295072,-6661.853478,5132.839837
