#time,accel_x,accel_y,accel_z
22509.025359,5847.626942,-10362.883188,-76.609550
22509.025693,7994.224174,-10066.800811,2068.457845
22509.026026,9252.574275,-9252.574275,3830.477490
22509.026360,10881.027347,-9252.574275,4443.353888
22509.026694,11177.109724,-8734.430116,3907.087040
22509.027028,11769.274478,-9474.636058,4213.525239
22509.027361,8290.306550,-8364.327145,0.000000
22509.027695,7698.141797,-9548.656652,-76.609550
22509.028029,7031.956449,-8364.327145,-4290.134789
22509.028363,6217.729913,-7772.162391,-3524.039291
22509.028697,7031.956449,-9400.615463,-3524.039291
22509.029030,8216.285956,-9474.636058,-1455.581446
22509.029364,9104.533087,-10066.800811,1072.533697
22509.029698,9252.574275,-9622.677246,3064.381992
22509.030032,6883.915261,-8882.471304,2221.676944
22509.030365,4737.318029,-11621.233289,4749.792088
22509.030699,6439.791695,-11843.295072,3600.648841
22509.031033,3256.906145,-5995.668130,3064.381992
22509.031367,8068.244768,-8290.306550,4826.401637
22509.031700,4293.194464,-5107.421000,1838.629195
22509.032034,5033.400406,-6291.750507,229.828649
22509.032368,5921.647536,-6291.750507,-919.314598
22509.032702,5995.668130,-7179.997637,-2604.724693
22509.033036,6513.812290,-8068.244768,-4290.134789
22509.033369,10584.944971,-13027.624579,-2528.115143
22509.033703,7846.182985,-9548.656652,-2451.505594
22509.034037,9474.636058,-12805.562797,2068.457845
22509.034371,13915.871710,-13915.871710,2374.896044
22509.034704,9474.636058,-11029.068536,2451.505594
22509.035038,9252.574275,-10436.903782,1991.848295
22509.035372,9104.533087,-9770.718434,1685.410096
22509.035706,9326.594869,-7328.038826,2681.334243
22509.036039,8290.306550,-4811.338623,3830.477490
22509.036373,11177.109724,-5477.523971,2911.162892
22509.036707,8734.430116,-7698.141797,995.924147
22509.037041,6513.812290,-8364.327145,-1072.533697
22509.037375,6439.791695,-10658.965565,-1302.362347
22509.037708,4589.276840,-9622.677246,-2451.505594
22509.038042,4885.359217,-10881.027347,-1225.752797
22509.038376,8216.285956,-11843.295072,-76.609550
22509.038710,9400.615463,-7846.182985,919.314598
22509.039043,13249.686362,-8068.244768,6052.154434
22509.039377,11399.171507,-7328.038826,3064.381992
22509.039711,9474.636058,-7920.203579,-459.657299
22509.040045,9030.512492,-8438.347739,-1455.581446
